Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City State Zip,Inspection Date,Inspection Type,Results,Violations
2064674,IZAKAYA YUME,IZAKAYA YUME,2476379,Mobile Food Preparer,Risk 2 (Medium),950 ESTES CT ,"SCHAUMBURG,IL,60193",06/21/2017,Canvass Re-inspection,Pass,
2064655,IZAKAYA YUME,IZAKAYA YUME,2476379,Mobile Food Preparer,Risk 2 (Medium),950 ESTES CT ,"SCHAUMBURG,IL,60193",06/21/2017,Canvass Re-inspection,Fail,"21. * CERTIFIED FOOD MANAGER ON SITE WHEN POTENTIALLY HAZARDOUS FOODS ARE  PREPARED AND SERVED - Comments: CORRECTED (CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE HAS NOW BEEN PROVIDED). | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: CORRECTED"
2064626,"A 87 CAFE AND RESTAURANT,CORP","A 87  CAFE AND RESTAURANT,CORP",2535691,Restaurant,Risk 1 (High),4393 N ELSTON ,",IL,60641",06/20/2017,License Re-inspection,Pass,"11. ADEQUATE NUMBER, CONVENIENT, ACCESSIBLE, DESIGNED, AND MAINTAINED - Comments: EXPOSED HAND SINK IN NOW INSTALLED IN THE FRONT PREP AREA, WITH PAPER TOWEL AND HAND SOAP AND HOT AND COLD RUNNING WATER. VIOLATION CORRECTED AND ABATED | 19. OUTSIDE GARBAGE WASTE GREASE AND STORAGE AREA; CLEAN, RODENT PROOF, ALL CONTAINERS COVERED - Comments: OUTSIDE COMMERCIAL GARBAGE CONTAINER IS NOW PROVIDED ON SITE(GROOT). VIOLATION CORRECTED AND ABATED. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: SEAL THE RAW WOOD AROUND THE EXPOSED HAND SINK IN THE MIDDLE PREP AREA.  | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: VENTILATION NOT WORKING ON BOTH WASHROOMS AND THE HOOD IN THE COOK LINE. MUST REPAIR."
2064614,MARKET SELECT,MARKET SELECT,2523571,Grocery Store,Risk 3 (Low),912 N ASHLAND AVE ,",IL,60622",06/20/2017,License,Not Ready,
2064612,MARKET SELECT,MARKET SELECT,2523569,Grocery Store,Risk 3 (Low),912 N ASHLAND AVE ,",IL,60622",06/20/2017,License,Not Ready,
2064565,IZAKAYA YUME,IZAKAYA YUME,2476379,Mobile Food Preparer,Risk 1 (Medium),950 ESTES CT ,"SCHAUMBURG,IL,60193",06/19/2017,Canvass Re-inspection,No Entry,"21. * CERTIFIED FOOD MANAGER ON SITE WHEN POTENTIALLY HAZARDOUS FOODS ARE  PREPARED AND SERVED - Comments: NO VALID CITY OF CHICAGO CERTIFIED MANAGER ON SITE WHILE POTENTIALLY HAZARDOUS FOODS (FISH, SHRIMP, CRAB) PREPARED AND SERVED. MANAGER WAS NOT ABLE TO PROVIDE AN ORIGINAL COPY OF HIS CERTIFICATE. ONLY A PHOTOCOPY WAS PRESENT ON SITE. INSTRUCTED THAT A CITY OF CHICAGO CERTIFIED FOOD MANAGER MUST BE ON SITE, WITH ORIGINAL CERTIFICATE POSTED AT ALL TIMES WHILE POTENTIALLY HAZARDOUS FOOD IS PREPARED AND SERVED. SERIOUS VIOLATION: 7-38-012 | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments:  OBSERVED FOIL BEING USED TO LINE THE FLAT TOP GRILL AND CARDBOARD BOXES BEING USED TO STORE SUSHI BURRITOS AND FRIED FISH. INSTRUCTED THAT ALL FOOD CONTACT AND EQUIPMENT SURFACES MUST BE SMOOTH, NON-ABSORBENT AND EASILY CLEANABLE."
2064471,"A 87 CAFE AND RESTAURANT,CORP","A 87  CAFE AND RESTAURANT,CORP",2535691,Restaurant,Risk 1 (High),4393 N ELSTON ,",IL,60641",06/16/2017,License,Fail,"38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: VENTILATION NOT WORKING ON BOTH WASHROOMS AND THE HOOD IN THE COOK LINE. MUST REPAIR. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: SEAL THE RAW WOOD AROUND THE  EXPOSED HAND SINK IN THE MIDDLE PREP AREA.

RUBBER GASKET ALONG THE DOOR OF THE TWO DOOR REACH IN COOLER RIPPED OFF. MUST REPAIR AND MAINTAIN. | 19. OUTSIDE GARBAGE WASTE GREASE AND STORAGE AREA; CLEAN, RODENT PROOF, ALL CONTAINERS COVERED - Comments: MUST PROVIDE OUTSIDE COMMERCIAL GARBAGE CONTAINER FOR WASTE DISPOSAL SERIOUS VIOLATION 7-38-020. | 11. ADEQUATE NUMBER, CONVENIENT, ACCESSIBLE, DESIGNED, AND MAINTAINED - Comments: NO EXPOSED HAND SINK IN THE FRONT PREP AREA. MUST INSTALL EXPOSED HAND SINK WITH PAPER TOWEL AND HAND SOAP AND HOT AND COLD RUNNING WATER. CRITICAL VIOLATION 7-38-030."
2064263,SUPREME CATERING COMPANY,SUPREME CATERING COMPANY,2501387,Mobile Food Dispenser,Risk 3 (Low),1900 S MAYWOOD DR ,"MAYWOOD,IL,60153",06/14/2017,License Re-inspection,Pass,"11. ADEQUATE NUMBER, CONVENIENT, ACCESSIBLE, DESIGNED, AND MAINTAINED - Comments: VIOLATION CORRECTED. WATER HOSE REPAIRED. | 18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: VIOLATION CORRECTED. PEST CONTROL LOG BOOK PROVIDED. | 30. FOOD IN ORIGINAL CONTAINER, PROPERLY LABELED: CUSTOMER ADVISORY POSTED AS NEEDED - Comments: VIOLATION CORRECTED."
2060158,CUPCAKES FOR COURAGE,CUPCAKES FOR COURAGE,2263359,Mobile Food Dispenser,Risk 3 (Low),108 W PARK ,"ELMHURST,IL,60126",06/13/2017,License,Pass,
2070187,CHINA CAFE,CHINA CAFE,2535883,Restaurant,Risk 1 (High),2300-2302 S WENTWORTH AVE BLDG ,",IL,60616",06/12/2017,License,Not Ready,
2060059,DEETER COOKIES,DEETER COOKIES,2522500,Mobile Prepared Food Vendor,Risk 3 (Low),37 SHERWOOD TER ,"LAKE BLUFF,IL,60044",06/12/2017,License,Pass,"30. FOOD IN ORIGINAL CONTAINER, PROPERLY LABELED: CUSTOMER ADVISORY POSTED AS NEEDED - Comments: MUST POST LICENSE NUMBER IN FONT THAT IS AT LEAST 2 INCHES TALL ON BOTH SIDES OF THE CART."
2060050,LA COCINITA FOOD TRUCK CHICAGO,LA COCINITA FOOD TRUCK CHICAGO,2458565,Mobile Food Preparer,Risk 2 (Medium),1625 CHICAGO AVE ,"EVANSTON,IL,60201",06/10/2017,Canvass,Fail,"12. HAND WASHING FACILITIES: WITH SOAP AND SANITARY HAND DRYING DEVICES, CONVENIENT AND ACCESSIBLE TO FOOD PREP AREA - Comments: Found handsink blocked and not accessible. Hand sink found with pans and utensils stored inside. When turned hot water handle, no water came out of faucet. Instructed must have hot & water, soap and paper towels at all times. Hand sink may only be used for washing hands. Hand sink must be accessible at all times. Operator removed items from sink basin, and turned on the hot water. Hot water found at 92.1F. Critical violation 7-38-030.  | 24. DISH WASHING FACILITIES: PROPERLY DESIGNED, CONSTRUCTED, MAINTAINED, INSTALLED, LOCATED AND OPERATED - Comments: Found hot water temperature at 92.3F at the 3 compartment sink. Instructed must have 120F available at all times to properly wash, rinse and sanitize utensils. Serious violation 7-38-030. | 21. * CERTIFIED FOOD MANAGER ON SITE WHEN POTENTIALLY HAZARDOUS FOODS ARE  PREPARED AND SERVED - Comments: Observed no city of Chicago certified manager on site while potentially hazardous foods (pork, rice, etc.) being cooked and served. Must have a city of Chicago certified food manager on site at all times when potentially hazardous foods are being prepped, cooked and/or served. Serious violation 7-38-012.  | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: Found leak under 3 compartment sink. Found water leaking on to floor of vehicle and also leaking from under vehicle onto the street. Must repair and maintain.  | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: Observed excessive grease and dust build up on ventilation hoods above hot holding area/grill. Must remove, detail clean and sanitize. Must maintain same. "
2059829,SAN FELIPE FRESH MARKET,SAN FELIPE FRESH MARKET,2404664,Grocery Store,Risk 1 (High),3440 W MONTROSE AVE ,"Chicago,IL,60618",06/08/2017,Canvass Re-inspection,Pass,"29. PREVIOUS MINOR VIOLATION(S) CORRECTED 7-42-090 - Comments: PREVIOUS MINOR VIOLATIONS-#30, #32, #35 AND #36 FROM REPORT #2059412 DATED ON 06/01/17 HAVE BEEN CORRECTED."
2059706,MOJO SOUTH WACKER,MOJO SOUTH WACKER,2534918,Restaurant,Risk 2 (Medium),200 S WACKER DR ,"312CHICAGO,IL,60606",06/06/2017,License,Pass,"35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: FOUND MISSING WALL COVING. MUST INSTALL MISSING WALL COVING TO THE LEFT OF HAND SINK IN THE PREP AREA. 
INSTRUCTED TO REPAIR AND MAINTAIN. "
2059479,Carson (New),Carson (New),70217,School,Risk 1 (High),2550 W 56th (5600S) ST ,"chicago,IL,60629",06/02/2017,Canvass Re-inspection,Pass,"29. PREVIOUS MINOR VIOLATION(S) CORRECTED 7-42-090 - Comments: VIOLATION CORRECTED, LUNCHROOM CEILING REPAIRED/SEALED AT THIS TIME. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: VIOLATION CORRECTED | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: VIOLATION CORRECTED | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: VIOLATION CORRECTED | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: VIOLATION CORRECTED | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: VIOLATION CORRECTED | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: VIOLATION CORRECTED"
2059412,SAN FELIPE FRESH MARKET,SAN FELIPE FRESH MARKET,2404664,Grocery Store,Risk 1 (High),3440 W MONTROSE AVE ,"Chicago,IL,60618",06/01/2017,Canvass,Fail,"10. SEWAGE AND WASTE WATER DISPOSAL, NO BACK SIPHONAGE, CROSS  CONNECTION AND/OR BACK FLOW - Comments: OBSERVED WASTE WATER BACKING UP INTO 3-COMPARTMENT SINK WHEN HAND WASH BOWL WATER IS TURNED ON AT PREP/DISHWASH AREA. INSTRUCTED MANAGER 3-COMPARTMENT SINK MUST PROPERLY DRAIN. PLUMBER ON SITE AND 3-COMPARTMENT SINK NOW DRAINING CORRECTLY, NO WASTE WATER BACKING UP INTO 3-COMPARTMENT SINK. INTERIOR AND EXTERIOR OF 3-COMPARTMENT SINK CLEANED AND SANITIZED. CRITICAL VIOLATION 7-38-030. | 29. PREVIOUS MINOR VIOLATION(S) CORRECTED 7-42-090 - Comments: THE FOLLOWING PREVIOUS MINOR VIOLATIONS FROM REPORT #1931928 DATED ON 06/01/16 HAVE NOT BEEN CORRECTED-#30 MUST PROPERLY STORE ALL FOODS AND PREPARED FOODS NOT IN THEIR ORIGINAL CONTAINERS IN FOOD GRADE BAGS OR CONTAINERS ALSO INSTRUCTED TO DATE AND LABEL PREPARED FOODS INSIDE THE MEAT WALK IN COOLER, #32 MUST REPAIR BROKEN CORNER OF THE BOX LID AT THE PORK GRIND CASE IN FRONT OF THE MEAT DELI CASES, #35 MUST DETAIL CLEAN AND SANITIZE ALL WALLS AT THE TAQUERIA COOKING AREA AND AT THE MEAT/DELI AREA TO REMOVE FOOD SPLASHES AND GRIME. ALSO MUST REPLACE/DETAIL CLEAN EXHAUST HOOD FILTERS LOCATED AT THE EXHAUST HOOD CANOPY, #36 FOUND LIGHT BULBS AT THE MEAT/DELI SERVICE PREP AREA DELI CASES NOT SHIELDED. INSTRUCTED TO PROVIDE LIGHT SHIELDS WITH END CAPS OR SHATTER PROOFED LIGHTING AND MAINTAIN. THE ABOVE PREVIOUS MINOR VIOLATIONS MUST BE CORRECTED BY DATE OF REINSPECTION. SERIOUS VIOLATION 7-42-090."
2051025,K INTERCONTINENTAL RESTAURANT,K INTERCONTINENTAL RESTAURANT (MOBILE FOOD),2523116,Mobile Food Dispenser,Risk 3  (Low),951 W WISE RD ,"SCHAUMBURG,IL,60193",05/24/2017,License,Pass,"30. FOOD IN ORIGINAL CONTAINER, PROPERLY LABELED: CUSTOMER ADVISORY POSTED AS NEEDED - Comments: Previous license number printed on vehicle. Instructed facility to put new license number on both lateral sides at least 2 inches high."
2050982,MOJO SOUTH WACKER,MOJO SOUTH WACKER,2534918,Restaurant,Risk 2 (Medium),200 S WACKER DR ,"312CHICAGO,IL,60606",05/24/2017,License,Not Ready,
2050912,SUPREME CATERING COMPANY,SUPREME CATERING COMPANY,2501387,Mobile Food Dispenser,Risk 3 (Low),1900 S MAYWOOD DR ,"MAYWOOD,IL,60153",05/23/2017,License,Fail,"2. FACILITIES TO MAINTAIN PROPER TEMPERATURE - Comments: NO MECHANICAL REFRIGERATION-ICE USED FOR COLD HOLDING. | 11. ADEQUATE NUMBER, CONVENIENT, ACCESSIBLE, DESIGNED, AND MAINTAINED - Comments: EXPOSED SINK NOT PROPERLY MAINTAINED. WATER HOSE IN POOR REPAIR, WATER SPRAYING HEAVILY FROM HOSE WHEN EXPOSED SINK IN USE. INSTRUCTED MANAGER TO REPAIR/REPLACE HOSE. CRITICAL VIOLATION 7-38-030 | 18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: NO PEST CONTROL LOG BOOK AVAILABLE DURING INSPECTION. INSTRUCTED MANAGER TO PROVIDE PEST CONTROL LOG BOOK. | 30. FOOD IN ORIGINAL CONTAINER, PROPERLY LABELED: CUSTOMER ADVISORY POSTED AS NEEDED - Comments: ALL FOOD MUST BE INDIVIDUALLY WRAPPED AND PROPERLY LABELED."
2015308,HAROLD'S CHICKEN 57 LLC.,HAROLD'S CHICKEN,2363519,Restaurant,Risk 1 (High),6606 W NORTH AVE ,"Chicago,IL,60707",05/11/2017,Canvass Re-inspection,Pass,
